# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-04-09 12:04:00 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08049500 W Fk Trinity Rv at Grand Prairie, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08049500
#            TS   parameter     statistic     Description
#        133233       00060     00001     Discharge, cubic feet per second (Maximum)
#        133234       00060     00002     Discharge, cubic feet per second (Minimum)
#        133235       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	133233_00060_00001	133233_00060_00001_cd	133234_00060_00002	133234_00060_00002_cd	133235_00060_00003	133235_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	08049500	1925-04-01					32.0	A
USGS	08049500	1925-04-02					27.0	A
USGS	08049500	1925-04-03					24.0	A
USGS	08049500	1925-04-04					27.0	A
USGS	08049500	1925-04-05					22.0	A
USGS	08049500	1925-04-06					28.0	A
USGS	08049500	1925-04-07					25.0	A
USGS	08049500	1925-04-08					25.0	A
USGS	08049500	1925-04-09					23.0	A
USGS	08049500	1925-04-10					22.0	A
USGS	08049500	1925-04-11					23.0	A
USGS	08049500	1925-04-12					21.0	A
USGS	08049500	1925-04-13					21.0	A
USGS	08049500	1925-04-14					21.0	A
USGS	08049500	1925-04-15					20.0	A
USGS	08049500	1925-04-16					20.0	A
USGS	08049500	1925-04-17					19.0	A
USGS	08049500	1925-04-18						
USGS	08049500	1925-04-19						
USGS	08049500	1925-04-20						
USGS	08049500	1925-04-21					20.0	A
USGS	08049500	1925-04-22						
USGS	08049500	1925-04-23						
USGS	08049500	1925-04-24						
USGS	08049500	1925-04-25						
USGS	08049500	1925-04-26					22.0	A
USGS	08049500	1925-04-27					780	A
USGS	08049500	1925-04-28					1350	A
USGS	08049500	1925-04-29					732	A
USGS	08049500	1925-04-30					115	A
USGS	08049500	1925-05-01					78.0	A
USGS	08049500	1925-05-02					64.0	A
USGS	08049500	1925-05-03					64.0	A
USGS	08049500	1925-05-04					256	A
USGS	08049500	1925-05-05					300	A
USGS	08049500	1925-05-06					228	A
USGS	08049500	1925-05-07						
USGS	08049500	1925-05-08						
USGS	08049500	1925-05-09						
USGS	08049500	1925-05-10						
USGS	08049500	1925-05-11						
USGS	08049500	1925-05-12						
USGS	08049500	1925-05-13					2460	A
USGS	08049500	1925-05-14					2340	A
USGS	08049500	1925-05-15					2220	A
USGS	08049500	1925-05-16					1800	A
USGS	08049500	1925-05-17					1320	A
USGS	08049500	1925-05-18					1300	A
USGS	08049500	1925-05-19					800	A
USGS	08049500	1925-05-20					380	A
USGS	08049500	1925-05-21					256	A
USGS	08049500	1925-05-22					186	A
USGS	08049500	1925-05-23					132	A
USGS	08049500	1925-05-24					93.0	A
USGS	08049500	1925-05-25					78.0	A
USGS	08049500	1925-05-26					57.0	A
USGS	08049500	1925-05-27					54.0	A
USGS	08049500	1925-05-28					44.0	A
USGS	08049500	1925-05-29					36.0	A
USGS	08049500	1925-05-30					31.0	A
USGS	08049500	1925-05-31					20.0	A
USGS	08049500	1925-06-01					20.0	A
USGS	08049500	1925-06-02					15.0	A
USGS	08049500	1925-06-03					19.0	A
USGS	08049500	1925-06-04					11.0	A
USGS	08049500	1925-06-05					12.0	A
USGS	08049500	1925-06-06					7.40	A
USGS	08049500	1925-06-07					4.80	A
USGS	08049500	1925-06-08					5.80	A
USGS	08049500	1925-06-09					6.60	A
USGS	08049500	1925-06-10					88.0	A
USGS	08049500	1925-06-11					63.0	A
USGS	08049500	1925-06-12					35.0	A
USGS	08049500	1925-06-13					23.0	A
USGS	08049500	1925-06-14					7.00	A
USGS	08049500	1925-06-15					11.0	A
USGS	08049500	1925-06-16					16.0	A
USGS	08049500	1925-06-17					7.80	A
USGS	08049500	1925-06-18					5.40	A
USGS	08049500	1925-06-19					7.80	A
USGS	08049500	1925-06-20					5.80	A
USGS	08049500	1925-06-21					8.60	A
USGS	08049500	1925-06-22					5.40	A
USGS	08049500	1925-06-23					10.0	A
USGS	08049500	1925-06-24					10.0	A
